sample_id,category,split_role,label,defect_type,image_path,mask_path
00078838ad7ec1e3b7dd3876,capsule,fit,0,good,capsule/train/good/104.png,
00095671a535f9f9cb78751d,transistor,fit,0,good,transistor/train/good/037.png,
000d24848c2a6ac1079cc4fa,carpet,final_test,1,thread,carpet/test/thread/008.png,carpet/ground_truth/thread/008_mask.png
0027067f43afcc83c796809b,bottle,final_test,0,good,bottle/test/good/016.png,
003421d5fe80523352059969,toothbrush,fit,0,good,toothbrush/train/good/006.png,
004df60231c9120ac553f5c5,tile,fit,0,good,tile/train/good/040.png,
004e0ba41d920eb80736dd72,leather,fit,0,good,leather/train/good/214.png,
005eb881a6bbb9849508a421,tile,final_test,1,oil,tile/test/oil/016.png,tile/ground_truth/oil/016_mask.png
005f003894301f374a92ed49,grid,final_test,1,bent,grid/test/bent/003.png,grid/ground_truth/bent/003_mask.png
0062139588b3a75635885041,transistor,fit,0,good,transistor/train/good/093.png,
00a78f8a990472adc15aaa5d,capsule,selection,1,faulty_imprint,capsule/test/faulty_imprint/010.png,capsule/ground_truth/faulty_imprint/010_mask.png
00c26b5ee2671e01f182ae4e,cable,final_test,1,cable_swap,cable/test/cable_swap/005.png,cable/ground_truth/cable_swap/005_mask.png
00e4f5f0020e93a0da5a323d,leather,fit,0,good,leather/train/good/147.png,
00eaa4c6211a55720cf02c20,metal_nut,calibration_normal,0,good,metal_nut/train/good/191.png,
00ecaac90e7c19e6e6639f0a,pill,fit,0,good,pill/train/good/120.png,
00fad09c87763ae1c1ec4f91,leather,fit,0,good,leather/train/good/207.png,
00fb6ec3db9650464da8b9a7,grid,fit,0,good,grid/train/good/218.png,
011dd0cf7570843b9579835e,transistor,fit,0,good,transistor/train/good/005.png,
0130a6a9d21cfac64e93cc2e,screw,final_test,1,scratch_neck,screw/test/scratch_neck/018.png,screw/ground_truth/scratch_neck/018_mask.png
01364f7d54061733d016488a,screw,fit,0,good,screw/train/good/219.png,
013c78fda4e9d304b57d684c,transistor,validation_normal,0,good,transistor/train/good/095.png,
01469caaa225d900a5943966,tile,final_test,1,rough,tile/test/rough/002.png,tile/ground_truth/rough/002_mask.png
014e8b1d8033d7ac5e7592eb,carpet,fit,0,good,carpet/train/good/001.png,
016f1c85105ce2637010c18b,carpet,fit,0,good,carpet/train/good/000.png,
017936118b46b99d309f05be,transistor,selection,1,damaged_case,transistor/test/damaged_case/004.png,transistor/ground_truth/damaged_case/004_mask.png
0179f8a5712e80bd71bb027e,hazelnut,fit,0,good,hazelnut/train/good/004.png,
017d8288e70377a4f2288e1b,cable,calibration_normal,0,good,cable/train/good/184.png,
01833a9c55bad1c1e323b417,capsule,final_test,1,crack,capsule/test/crack/009.png,capsule/ground_truth/crack/009_mask.png
018341e8e160aa5b64fccbb9,grid,final_test,1,glue,grid/test/glue/010.png,grid/ground_truth/glue/010_mask.png
018b1372762b37fb6ca3e30c,cable,final_test,1,combined,cable/test/combined/007.png,cable/ground_truth/combined/007_mask.png
019ac00b782883db9e7b7ad7,transistor,fit,0,good,transistor/train/good/098.png,
01a7608b5b163b76f0bf074a,hazelnut,fit,0,good,hazelnut/train/good/290.png,
01ca085e4fa5517c69a68522,cable,fit,0,good,cable/train/good/146.png,
